,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,movie_id,runtime_minutes,genres
653,2018-11-16,instant family,48.0,67.363237,119.736188,71.736188,tt7401588,118.0,"Comedy,Drama"
654,2010-01-22,tooth fairy,48.0,60.022256,112.610386,64.610386,tt0808510,101.0,"Comedy,Family,Fantasy"
656,2016-07-13,the infiltrator,47.5,15.436808,20.718104,-26.781896,tt1355631,127.0,"Biography,Crime,Drama"
657,2016-11-11,arrival,47.0,100.546139,203.127894,156.127894,tt2543164,116.0,"Drama,Mystery,Sci-Fi"
659,2010-06-18,jonah hex,47.0,10.547117,11.022696,-35.977304000000004,tt1075747,81.0,"Action,Drama,Fantasy"
660,2016-12-23,silence,46.5,7.100177,23.726626,-22.773374,tt0490215,161.0,"Adventure,Drama,History"
671,2013-09-20,prisoners,46.0,61.002302,113.402302,67.402302,tt1392214,153.0,"Crime,Drama,Mystery"
672,2010-12-31,arthur 3: the war of the two worlds,45.5,0.347136,36.180824,-9.319175999999999,tt0940656,101.0,"Adventure,Animation,Family"
673,2012-10-05,taken 2,45.0,139.854287,377.807404,332.807404,tt1397280,92.0,"Action,Thriller"
674,2017-12-22,pitch perfect 3,45.0,104.89753,185.736412,140.736412,tt4765284,93.0,"Comedy,Music"
675,2011-11-23,the muppets,45.0,88.625922,160.971922,115.971922,tt1204342,103.0,"Adventure,Comedy,Family"
677,2016-10-07,the girl on the train,45.0,75.395035,174.278214,129.278214,tt3631112,112.0,"Crime,Drama,Mystery"
679,2010-03-19,the bounty hunter,45.0,67.061228,135.808837,90.80883700000001,tt1038919,110.0,"Action,Comedy,Romance"
681,2016-12-09,office christmas party,45.0,54.767494,91.323299,46.323299000000006,tt1711525,105.0,Comedy
682,2012-07-06,savages,45.0,47.3231,82.51349,37.513490000000004,tt1615065,131.0,"Crime,Drama,Thriller"
683,2014-05-23,blended,45.0,46.290741,127.990741,82.990741,tt1086772,117.0,"Comedy,Romance"
684,2017-06-16,all eyez on me,45.0,44.922302,54.876855,9.876854999999999,tt1666185,139.0,"Biography,Drama,Music"
685,2019-05-03,uglydolls,45.0,19.894664,24.644664,-20.355336,tt1946502,87.0,"Adventure,Animation,Comedy"
686,2010-02-19,the ghost writer,45.0,15.541549,65.532491,20.532490999999993,tt1139328,128.0,"Drama,Mystery,Thriller"
687,2012-09-21,dredd,45.0,13.414714,41.467606,-3.5323939999999965,tt1343727,95.0,"Action,Crime,Sci-Fi"
688,2011-10-28,the rum diary,45.0,13.109815,21.544732,-23.455268,tt0376136,119.0,"Comedy,Drama"
689,2018-12-21,welcome to marwen,45.0,10.76352,12.874922,-32.125078,tt3289724,116.0,"Biography,Comedy,Drama"
690,2011-10-21,johnny english reborn,45.0,8.406711,164.640401,119.640401,tt1634122,101.0,"Action,Adventure,Comedy"
691,2012-10-12,argo,44.5,136.025503,227.140757,182.640757,tt1024648,120.0,"Biography,Drama,Thriller"
692,2010-07-30,charlie st. cloud,44.0,31.206263,48.478084,4.478084000000003,tt1438254,99.0,"Drama,Fantasy,Romance"
695,2014-02-06,the interview,44.0,6.105175,12.342632,-31.657367999999998,tt2788710,112.0,Comedy
697,2013-06-28,the heat,43.0,159.581587,229.727774,186.727774,tt2404463,117.0,"Action,Comedy,Crime"
698,2018-11-09,the girl in the spider's web,43.0,14.828555,34.983342,-8.016658,tt5177088,115.0,"Action,Crime,Drama"
699,2017-01-06,a monster calls,43.0,3.740823,46.41453,3.414529999999999,tt3416532,108.0,"Animation,Drama,Fantasy"
700,2011-01-28,the mechanic,42.5,29.121498,76.347393,33.847393,tt0472399,93.0,"Action,Crime,Thriller"
701,2012-03-16,21 jump street,42.0,138.447667,202.812429,160.812429,tt1232829,109.0,"Action,Comedy,Crime"
704,2017-05-12,snatched,42.0,45.852178,57.852177,15.852176999999998,tt2334871,90.0,"Action,Adventure,Comedy"
706,2012-10-12,here comes the boom,42.0,45.290318,73.239258,31.239258000000007,tt1648179,105.0,"Action,Comedy,Sport"
707,2011-03-11,red riding hood,42.0,37.662162,91.678442,49.678442000000004,tt1486185,100.0,"Fantasy,Horror,Mystery"
708,2018-12-25,holmes & watson,42.0,30.568743,41.926605,-0.07339499999999788,tt1255919,90.0,"Adventure,Comedy,Crime"
709,2012-01-27,one for the money,42.0,26.414527,36.197221,-5.802779000000001,tt1598828,91.0,"Action,Comedy,Crime"
710,2012-01-27,man on a ledge,42.0,18.62,49.62144,7.62144,tt1568338,102.0,"Action,Adventure,Crime"
711,2010-12-03,the warrior's way,42.0,5.66634,8.514325,-33.485675,tt1032751,100.0,"Action,Fantasy,Western"
713,2019-05-31,rocketman,41.0,57.342725,108.642725,67.642725,tt2066051,121.0,"Biography,Drama,Music"
714,2011-10-14,the big year,41.0,7.204138,7.684524,-33.315476000000004,tt1053810,100.0,Comedy
715,2010-06-11,the karate kid,40.0,176.591618,351.774938,311.774938,tt1155076,140.0,"Action,Drama,Family"
716,2015-02-13,fifty shades of grey,40.0,166.16723,570.998101,530.998101,tt2322441,125.0,"Drama,Romance,Thriller"
717,2013-12-13,american hustle,40.0,150.117807,257.878294,217.87829399999998,tt1800241,138.0,"Crime,Drama"
718,2019-05-17,john wick: chapter 3 - parabellum,40.0,141.74432,256.498033,216.49803300000002,tt6146586,131.0,"Action,Crime,Thriller"
