id,release_date,movie,production_budget,domestic_gross,worldwide_gross,,,,,,,,
56,22-Nov-13,Frozen,"$150,000,000 ","$400,738,009 ","$1,272,469,910 ",,Frozen,,,,,#VALUE!,0
57,4-Mar-16,Zootopia,"$150,000,000 ","$341,268,248 ","$1,019,429,616 ",,Zootopia,,,,,#VALUE!,0
58,11-Jul-07,Harry Potter and the Order of the Phoenix,"$150,000,000 ","$292,137,260 ","$943,076,457 ",,Harry Potter and the Order of the Phoenix,,,,,#VALUE!,0
59,18-Nov-05,Harry Potter and the Goblet of Fire,"$150,000,000 ","$290,201,752 ","$897,099,794 ",,Harry Potter and the Goblet of Fire,,,,,#VALUE!,0
60,15-May-03,The Matrix Reloaded,"$150,000,000 ","$281,553,689 ","$738,576,929 ",,The Matrix Reloaded,,,,,#VALUE!,0
61,14-Dec-07,I am Legend,"$150,000,000 ","$256,393,010 ","$585,532,684 ",,I am Legend,,,,,#VALUE!,0
62,23-Nov-16,Moana,"$150,000,000 ","$248,757,044 ","$637,517,365 ",,Moana,,,,,#VALUE!,0
63,1-Jul-08,Hancock,"$150,000,000 ","$227,946,274 ","$624,234,272 ",,Hancock,,,,,#VALUE!,0
64,15-Jul-05,Charlie and the Chocolate Factory,"$150,000,000 ","$206,459,076 ","$475,825,484 ",,Charlie and the Chocolate Factory,,,,,#VALUE!,0
65,29-Jun-07,Ratatouille,"$150,000,000 ","$206,445,654 ","$626,549,695 ",,Ratatouille,,,,,#VALUE!,0
66,8-Nov-13,Thor: The Dark World,"$150,000,000 ","$206,362,140 ","$644,602,516 ",,Thor: The Dark World,,,,,#VALUE!,0
67,15-Jun-05,Batman Begins,"$150,000,000 ","$205,343,774 ","$359,142,722 ",,Batman Begins,,,,,#VALUE!,0
68,31-Jul-15,Mission: Impossible - Rogue Nation,"$150,000,000 ","$195,042,377 ","$688,858,992 ",,Mission: Impossible - Rogue Nation,,,,,#VALUE!,0
69,21-Jul-17,Dunkirk,"$150,000,000 ","$190,068,280 ","$499,837,368 ",,Dunkirk,,,,,#VALUE!,0
70,6-May-11,Thor,"$150,000,000 ","$181,030,624 ","$449,326,618 ",,Thor,,,,,#VALUE!,0
71,7-Nov-08,Madagascar: Escape 2 Africa,"$150,000,000 ","$180,174,880 ","$599,680,774 ",,Madagascar: Escape 2 Africa,,,,,#VALUE!,0
72,1-May-09,X-Men Origins: Wolverine,"$150,000,000 ","$179,883,157 ","$374,825,760 ",,X-Men Origins: Wolverine,,,,,#VALUE!,0
73,22-May-09,Night at the Museum: Battle of the Smithsonian,"$150,000,000 ","$177,243,721 ","$402,231,063 ",,Night at the Museum: Battle of the Smithsonian,,,,,#VALUE!,0
74,26-May-11,Kung Fu Panda 2,"$150,000,000 ","$165,249,063 ","$664,837,547 ",,Kung Fu Panda 2,,,,,#VALUE!,0
75,15-May-15,Mad Max: Fury Road,"$150,000,000 ","$153,636,354 ","$370,098,020 ",,Mad Max: Fury Road,,,,,#VALUE!,0
76,10-May-19,Pokémon: Detective Pikachu,"$150,000,000 ","$139,507,806 ","$411,258,433 ",,Pokémon: Detective Pikachu,,,,,#VALUE!,0
77,5-Nov-03,The Matrix Revolutions,"$150,000,000 ","$139,270,910 ","$427,300,260 ",,The Matrix Revolutions,,,,,#VALUE!,0
78,29-Mar-18,Ready Player One,"$150,000,000 ","$137,690,172 ","$579,290,136 ",,Ready Player One,,,,,#VALUE!,0
79,4-Nov-05,Chicken Little,"$150,000,000 ","$135,386,665 ","$310,043,823 ",,Chicken Little,,,,,#VALUE!,0
80,5-May-06,Mission: Impossible III,"$150,000,000 ","$133,501,348 ","$397,501,348 ",,Mission: Impossible III,,,,,#VALUE!,0
81,15-May-09,Angels & Demons,"$150,000,000 ","$133,375,846 ","$490,875,846 ",,Angels & Demons,,,,,#VALUE!,0
82,14-May-04,Troy,"$150,000,000 ","$133,298,577 ","$484,161,265 ",,Troy,,,,,#VALUE!,0
83,1-Jul-10,The Last Airbender,"$150,000,000 ","$131,772,187 ","$319,713,881 ",,The Last Airbender,,,,,#VALUE!,0
84,2-Nov-07,Bee Movie,"$150,000,000 ","$126,631,277 ","$287,594,577 ",,Bee Movie,,,,,#VALUE!,0
85,24-Jul-09,G-Force,"$150,000,000 ","$119,436,770 ","$292,817,841 ",,G-Force,,,,,#VALUE!,0
86,21-Nov-08,Bolt,"$150,000,000 ","$114,053,579 ","$328,015,029 ",,Bolt,,,,,#VALUE!,0
87,30-Mar-12,Wrath of the Titans,"$150,000,000 ","$83,670,083 ","$305,270,083 ",,Wrath of the Titans,,,,,#VALUE!,0
88,16-Nov-07,Beowulf,"$150,000,000 ","$82,280,579 ","$195,080,579 ",,Beowulf,,,,,#VALUE!,0
89,11-May-12,Dark Shadows,"$150,000,000 ","$79,727,149 ","$238,202,668 ",,Dark Shadows,,,,,#VALUE!,0
